Ship name,IMO Number,Flag,Gross tonnage,Type of ship,Date,Time,Area,Latitude,Longitude,Place,Label
TIBA FOLK,7403017.0,United Arab Emirates,1338.0,Tug,2011-01-01,19:50,East Africa,2° 41.00' N,59° 17.00' E,In international waters,1
GREEN PARK,9276262.0,United Kingdom,11590.0,Chemical tanker,2011-01-01,13:21,East Africa,13° 09.00' N,48° 49.00' E,In international waters,1
TIBA FOLK,7403017.0,United Arab Emirates,1338.0,Tug,2011-01-01,07:54,East Africa,3° 56.00' N,59° 33.00' E,In international waters,1
SCF ALPINE,9577056.0,Liberia,42400.0,Product tanker,2010-12-13,22:00,East Africa,5° 28.50' S,39° 58.90' E,In international waters,1
VALLE DI CORDOBA,9295311.0,Italy,25063.0,Chemical tanker,2010-12-24,22:20,West Africa,6° 07.70' N,2° 37.20' E,In international waters,1
EMS RIVER,9551662.0,Antigua and Barbuda,3500.0,General cargo ship,2010-12-27,13:03,East Africa,17° 57.00' N,57° 43.00' E,In international waters,1
SIGLOO STAR,8501531.0,Malta,10195.0,Tanker,2010-12-27,12:00,East Africa,15° 17.40' N,56° 22.80' E,In international waters,1
NS AFRICA,9413573.0,Liberia,62372.0,Tanker,2010-12-24,15:28,East Africa,18° 51.20' S,39° 53.50' E,In international waters,1
MAJESTIC,8307399.0,Panama,24942.0,Barge carrier,2010-12-25,08:30,East Africa,19° 04.80' S,38° 42.00' E,In international waters,1
THOR NEXUS,8712491.0,Thailand,15520.0,General cargo ship,2010-12-25,01:40,East Africa,16° 01.00' N,60° 12.00' E,In international waters,1
HAN HUI,9184550.0,"Hong Kong, China",9373.0,General cargo ship,2010-12-24,18:00,South China Sea,3° 02.60' N,105° 17.00' E,In international waters,1
SURYA WIRA I,9183233.0,Indonesia,104.0,Tug,2010-12-23,19:40,South China Sea,1° 12.32' N,103° 34.10' E,In international waters,1
THOR NAUTILUS,8701076.0,Thailand,15709.0,General cargo ship,2010-12-22,03:12,East Africa,12° 10.00' N,62° 31.00' E,In international waters,1
NORD STRAIT,9321938.0,Singapore,30029.0,Chemical tanker,2010-12-22,03:50,Arabian Sea,17° 00.00' N,62° 53.00' E,In international waters,1
YANASENI,9033555.0,Singapore,5210.0,Chemical tanker,2010-12-13,14:45,Arabian Sea,19° 53.90' N,66° 03.60' E,In international waters,1
DOUBTLESS,8913588.0,Liberia,28223.0,Chemical tanker,2010-12-19,09:09,Arabian Sea,19° 04.00' N,62° 10.00' E,In international waters,1
OXL LOTUS,9144471.0,Germany,5752.0,Ro-ro-cargo ship,2010-12-16,14:30,Mediterranean Sea,31° 14.30' N,32° 18.40' E,In port area,1
BM WARRIOR,8412534.0,Panama,12963.0,General cargo ship,2010-12-14,23:45,West Africa,5° 55.00' N,3° 17.00' E,In international waters,1
HELLESPONT TRINITY,9118458.0,Marshall Islands,80637.0,Tanker,2010-12-16,03:15,Indian Ocean,16° 10.00' N,68° 20.00' E,In international waters,1
MICHALAKIS,7517090.0,Malta,31791.0,Bulk carrier,2010-12-15,02:15,East Africa,12° 09.00' N,60° 23.00' E,In international waters,1
CAPE FLAMINGO,9344289.0,United Kingdom,90092.0,Barge carrier,2010-12-14,22:05,South China Sea,5° 33.60' S,106° 59.20' E,In international waters,1
ANDRE RICKMERS,9152789.0,Germany,26131.0,Container ship,2010-12-15,03:04,West Africa,6° 00.60' N,3° 33.50' E,In international waters,1
COUGAR,9014080.0,Liberia,17156.0,Container ship,2010-12-14,03:00,South China Sea,6° 00.70' S,106° 54.20' E,In port area,1
LEMESHEV,8222587.0,Saint Vincent and the Grenadines,16502.0,Bulk carrier,2010-12-13,19:20,East Africa,13° 52.40' N,51° 07.10' E,In international waters,1
MICHELE BOTTIGLIERI,9219422.0,Italy,39713.0,Bulk carrier,2010-12-14,08:00,East Africa,18° 15.00' N,61° 37.00' E,In international waters,1
NORDIC APOLLO,9248423.0,Marshall Islands,81310.0,Tanker,2010-12-13,10:00,East Africa,13° 09.00' N,48° 29.00' E,In international waters,1
FOREST HARMONY,9357896.0,Panama,39895.0,Bulk carrier,2010-12-13,00:26,South China Sea,10° 14.50' N,107° 28.80' E,In territorial waters,1
RENUAR,9042221.0,Panama,38520.0,Bulk carrier,2010-12-11,05:40,Indian Ocean,6° 09.00' N,67° 19.00' E,In international waters,1
MARCAMPANIA,9070034.0,Antigua and Barbuda,16282.0,Container ship,2010-12-03,08:41,Indian Ocean,0° 18.53' N,58° 28.43' E,In international waters,1
UNITED STAR,9014846.0,Liberia,80579.0,Tanker,2010-12-10,14:54,Arabian Sea,20° 55.00' N,62° 47.00' E,In international waters,1
MSC PANAMA,8902125.0,Liberia,18000.0,Container ship,2010-12-10,12:12,East Africa,9° 57.00' S,41° 46.00' E,In international waters,1
AOM T1301,9531674.0,Singapore,165.0,Tug,2010-12-08,04:28,South China Sea,1° 12.15' N,103° 33.40' E,In territorial waters,1
NORNA N,8006866.0,Panama,26450.0,Chemical tanker,2010-11-24,07:45,Indian Ocean,15° 09.00' N,67° 05.00' E,In international waters,1
OSHAIRIJ,9416018.0,Qatar,9955.0,Container ship,2010-12-08,17:05,South China Sea,10° 14.52' N,107° 04.81' E,In port area,1
RUDOLF SCHEPERS,9431719.0,Antigua and Barbuda,40541.0,Container ship,2010-12-03,23:55,South America (P),12° 02.00' S,77° 12.00' W,In port area,1
JAHAN MONI,9102954.0,Bangladesh,25600.0,Bulk carrier,2010-12-05,15:45,Indian Ocean,8° 11.22' N,71° 44.09' E,In international waters,1
HELLESPONT CHALLENGER,9435703.0,Marshall Islands,11551.0,Chemical tanker,2010-11-25,01:24,South China Sea,3° 47.00' N,98° 41.00' E,In port area,1
CAPE MELVILLE,9308390.0,Marshall Islands,27786.0,Container ship,2010-11-20,13:10,Indian Ocean,14° 19.80' N,65° 32.20' E,In international waters,1
CMA CGM WAGNER,9280665.0,United Kingdom,65247.0,Container ship,2010-12-02,08:05,Indian Ocean,9° 22.00' N,70° 24.00' E,In international waters,1
KYTHIRA,9169536.0,Greece,57943.0,Tanker,2010-11-30,13:30,Indian Ocean,9° 19.00' N,69° 30.00' E,In international waters,1
MELL SELETAR,9428229.0,Antigua and Barbuda,7545.0,Container ship,2010-11-02,18:30,South China Sea,14° 33.00' N,120° 56.00' E,In port area,1
SK SUPREME,9157739.0,Panama,92866.0,Tanker,2010-11-26,16:30,Arabian Sea,26° 06.80' N,55° 16.00' E,In international waters,1
STAR MARY,7929542.0,Mongolia,257.0,Tanker,2010-11-17,03:01,South China Sea,1° 17.00' N,103° 33.00' E,In territorial waters,1
LUXURY SW,9198379.0,Panama,14762.0,Bulk carrier,2010-11-28,03:30,West Africa,9° 22.00' N,13° 47.00' W,In territorial waters,1
IVER EXACT,9307982.0,Netherlands,29456.0,Chemical tanker,2010-11-29,02:40,East Africa,16° 59.60' N,67° 12.30' E,In international waters,1
26 AGUSTOS,9238478.0,Turkey,30303.0,Bulk carrier,2010-11-27,09:01,East Africa,13° 43.00' N,56° 49.00' E,In international waters,1
D &K 1,9164677.0,United Arab Emirates,28434.0,Product tanker,2010-11-27,07:00,East Africa,0° 39.30' N,64° 51.00' E,In international waters,1
PISTIS,8124266.0,Liberia,41016.0,Bulk carrier,2010-11-28,07:00,Arabian Sea,14° 51.60' N,68° 13.50' E,In international waters,1
MCL BREMEN,9513622.0,Antigua and Barbuda,7138.0,General cargo ship,2010-11-26,12:55,East Africa,9° 39.00' N,67° 23.00' E,In international waters,1
ATLANTIC ROSE,9354911.0,"Hong Kong, China",29266.0,Chemical tanker,2010-11-27,08:00,South America (A),10° 16.60' N,64° 42.40' W,In port area,1
GURU GOBIND SINGH,9070151.0,India,80130.0,Tanker,2010-11-25,11:10,Arabian Sea,14° 52.00' N,68° 00.00' E,In international waters,1
ALBEDO,9041162.0,Malaysia,10859.0,Container ship,2010-11-26,03:00,Indian Ocean,5° 38.00' N,68° 27.00' E,In international waters,1
MEDI CHENNAI,9300221.0,Panama,30822.0,Bulk carrier,2010-11-26,00:50,Indian Ocean,0° 20.00' S,69° 54.00' E,In international waters,1
HADI,9362073.0,Cyprus,163650.0,Tanker,2010-11-25,14:00,Arabian Sea,19° 49.80' N,62° 58.20' E,In international waters,1
PAGONA,9196395.0,Panama,18095.0,Bulk carrier,2010-11-24,11:10,Arabian Sea,14° 44.60' N,65° 59.70' E,In international waters,1
NORMA N,8006866.0,Panama,26450.0,Chemical tanker,2010-11-24,02:45,Arabian Sea,15° 04.70' N,67° 05.80' E,In international waters,1
CARMENCITA,9403176.0,Norway,32379.0,Bulk carrier,2010-11-22,23:00,East Africa,15° 53.00' N,58° 14.00' E,In international waters,1
SEA SPIRIT,8711083.0,Liberia,22838.0,Product tanker,2010-11-22,08:40,East Africa,1° 32.00' N,55° 49.00' E,In international waters,1
CAMPOLIBRE ALAI,8719334.0,Spain,1375.0,Fishing vessel,2010-11-22,05:00,East Africa,1° 30.00' N,55° 25.00' E,In international waters,1
FRONT ALFA,8914752.0,Marshall Islands,79918.0,Tanker,2010-11-21,21:45,East Africa,15° 30.00' N,59° 17.00' E,In international waters,1
TAI AN KOU,9223277.0,China,15840.0,Heavy load carrier,2010-11-20,08:24,East Africa,20° 30.00' N,60° 01.00' E,In international waters,1
NORTHERN PROMOTION,9467043.0,Liberia,47855.0,Container ship,2010-11-21,11:00,East Africa,14° 50.00' N,53° 57.00' E,In international waters,1
ALPINE MARIE,9547520.0,Panama,28777.0,Tanker,2010-11-21,02:35,West Africa,5° 13.40' N,4° 02.10' W,In port area,1
INTERTUNA TRES,9202704.0,Seychelles,4428.0,Fishing vessel,2010-11-21,07:20,East Africa,2° 43.00' N,55° 20.00' E,In international waters,1
VEGA LIBRA,9477696.0,Liberia,32557.0,Bulk carrier,2010-11-20,10:15,East Africa,13° 05.10' N,67° 34.20' E,In international waters,1
GRACEFUL MADONNA,9564279.0,Panama,9013.0,Bulk carrier,2010-11-20,07:15,East Africa,1° 07.00' S,67° 05.00' E,In international waters,1
NYK ALTAIR,9468308.0,Panama,105900.0,Container ship,2010-11-20,03:21,Indian Ocean,12° 20.00' N,66° 22.00' E,In international waters,1
NORTHERN VALOUR,9122411.0,Antigua and Barbuda,29115.0,Container ship,2010-11-18,19:54,East Africa,1° 18.00' S,52° 47.00' E,In international waters,1
LE CONG,9192686.0,China,19955.0,General cargo ship,2010-11-18,12:50,East Africa,12° 25.00' N,66° 33.00' E,In international waters,1
ZIM SANTOS,9226815.0,Liberia,15988.0,Container ship,2010-11-17,20:15,South America (A),10° 17.40' N,64° 43.10' W,In port area,1
NAUTICA KLUANG,9048926.0,Malaysia,1699.0,Product tanker,2010-11-16,04:35,South China Sea,2° 00.00' N,108° 45.50' E,In international waters,1
SAMURAI,9378876.0,Liberia,78845.0,Tanker,2010-11-16,02:45,Indian Ocean,5° 09.00' N,66° 42.00' E,In international waters,1
AFRICAN EAGLE,9257046.0,Bahamas,17944.0,Bulk carrier,2010-11-16,06:37,East Africa,4° 01.70' S,39° 57.50' E,In territorial waters,1
VALENTE ANGEL,9445124.0,Panama,16960.0,Bulk carrier,2010-11-16,03:15,South China Sea,7° 08.00' S,112° 39.50' E,In port area,1
BRAZIL STAR,8204638.0,Liberia,100912.0,Bulk carrier,2010-11-16,02:05,South China Sea,1° 01.70' N,106° 40.00' E,In international waters,1
VALERIE,9226009.0,Gibraltar (United Kingdom),12814.0,Chemical tanker,2010-11-15,08:05,East Africa,14° 03.00' N,49° 08.00' E,In international waters,1
KONRAD SCHULTE,9292125.0,Cyprus,18334.0,Container ship,2010-11-09,08:34,East Africa,6° 03.00' N,65° 00.00' E,In international waters,1
YUAN XIANG,7609192.0,Panama,14538.0,General cargo ship,2010-11-12,07:01,East Africa,18° 02.55' N,66° 03.39' E,In international waters,1
BBC ORINOCO,9366110.0,Antigua and Barbuda,11864.0,General cargo ship,2010-11-11,06:20,Indian Ocean,17° 13.00' N,65° 01.00' E,In international waters,1
JOLLY BIANCO,7931765.0,Italy,30969.0,Ro-ro-cargo ship,2010-11-11,12:15,East Africa,0° 50.50' S,49° 32.50' E,In international waters,1
TORM FOX,9302114.0,Denmark,23246.0,Chemical tanker,2010-11-12,00:45,West Africa,9° 17.00' N,13° 58.00' W,In international waters,1
GREENVILLE 16,9131280.0,Singapore,223.0,Tug,2010-04-17,04:30,South China Sea,2° 32.57' N,104° 45.09' E,In territorial waters,1
FLANDRE,9235256.0,France,159016.0,Tanker,2010-11-11,05:59,East Africa,17° 15.00' N,65° 23.00' E,In international waters,1
HANNIBAL II,8011756.0,Panama,16284.0,Chemical tanker,2010-11-11,04:35,Indian Ocean,11° 26.00' N,66° 05.00' E,In international waters,1
MAERSK NEPTUNE,9312511.0,Singapore,159911.0,Oil tanker,2010-11-10,05:00,Indian Ocean,10° 32.00' N,67° 00.00' E,In international waters,1
GULF COAST,9298674.0,Bahamas,42443.0,Product tanker,2010-11-08,13:45,East Africa,6° 43.00' S,51° 15.00' E,In international waters,1
FLOYEN,9379844.0,Panama,11585.0,Chemical tanker,2010-11-09,05:47,East Africa,1° 05.00' N,53° 10.00' E,In international waters,1
APL BOGOTA,9298612.0,Antigua and Barbuda,6704.0,Container ship,2010-11-05,07:00,South America (A),9° 58.00' N,83° 00.00' W,In port area,1
ALCYONE,9237113.0,Greece,27986.0,Bulk carrier,2010-11-08,02:20,South America (A),1° 31.60' S,48° 46.60' W,In port area,1
MOL VALPARAISO,9178549.0,Vanuatu,25497.0,Container ship,2010-11-07,23:28,West Africa,6° 00.00' N,3° 39.60' E,In international waters,1
TORM KANSAS,9290646.0,Denmark,29242.0,Tanker,2010-11-05,13:00,East Africa,5° 24.00' S,40° 43.00' E,In international waters,1
PACIFIC SUPPLIER,9196498.0,Singapore,1368.0,Tug,2010-11-05,13:22,West Africa,4° 38.00' N,8° 22.40' E,In territorial waters,1
NCC HAIEL,9335068.0,Panama,29575.0,Tanker,2010-11-07,01:40,South China Sea,1° 42.00' N,101° 27.00' E,In port area,1
MINERAL HOKKAIDO,9384954.0,Panama,90423.0,Barge carrier,2010-11-06,19:53,South China Sea,1° 01.00' N,106° 41.00' E,In international waters,1
LEYLA K,9430313.0,Marshall Islands,63304.0,Tanker,2010-11-03,19:06,South America (A),10° 12.00' N,64° 47.40' W,In port area,1
BATAVIA,9039547.0,Liberia,25825.0,Tanker,2010-11-02,14:30,Indian Ocean,7° 18.80' N,64° 10.10' E,In international waters,1
KUJAWY,9285029.0,Bahamas,24109.0,Bulk carrier,2010-11-30,01:00,South America (A),1° 31.30' S,48° 45.30' W,In port area,1
MAJESTIC,8307399.0,Panama,24942.0,Bulk carrier,2010-11-02,03:00,East Africa,3° 58.60' S,43° 49.00' E,In international waters,1
PORT UNION,9246451.0,Marshall Islands,29998.0,Chemical tanker,2010-10-19,19:20,West Africa,6° 17.04' N,3° 25.46' E,In territorial waters,1
CAPE MELVILLE,9308390.0,Marshall Islands,27786.0,Container ship,2010-10-02,07:40,East Africa,12° 31.70' N,43° 27.70' E,In international waters,1
TATIANA SCHULTE,9294173.0,Germany,28592.0,Container ship,2010-10-03,04:30,South China Sea,1° 22.16' N,104° 21.01' E,In territorial waters,1
DIAMOND OCEAN,9338565.0,Panama,19816.0,Bulk carrier,2010-10-02,03:45,South America (A),1° 31.40' S,48° 45.60' W,In port area,1
AMIRA S,7389845.0,Panama,11965.0,Bulk carrier,2010-10-02,08:30,East Africa,3° 53.00' N,50° 35.80' E,In international waters,1
FRIENDSHIP,9442213.0,Malta,4258.0,General cargo ship,2010-10-31,18:00,West Africa,9° 17.50' N,13° 17.00' W,In territorial waters,1
MAERSK PHOENIX,9283291.0,Singapore,61764.0,Tanker,2010-10-29,07:30,Indian Ocean,17° 40.00' N,83° 25.00' E,In port area,1
STAR LIGHT VENTURE,9297539.0,"Hong Kong, China",161045.0,Oil tanker,2010-10-28,00:30,Indian Ocean,13° 16.00' N,68° 59.00' E,In international waters,1
YORK,9220421.0,Singapore,4807.0,Tanker,2010-10-23,12:35,East Africa,4° 14.19' S,41° 18.19' E,In international waters,1
GO TRADER,9108116.0,Malta,26062.0,Bulk carrier,2010-10-30,05:12,East Africa,15° 06.00' N,55° 58.00' E,In international waters,1
POLAR,9299563.0,Panama,40690.0,Product tanker,2010-10-30,02:32,East Africa,12° 12.00' N,64° 53.00' E,In international waters,1
MSC AYALA,8413033.0,Panama,36124.0,Container ship,2010-10-28,22:01,East Africa,4° 10.00' S,39° 56.00' E,In territorial waters,1
SURYA PUTRA 5,9376581.0,Singapore,264.0,Tug,2010-10-24,16:20,South China Sea,1° 00.80' S,104° 28.80' E,In port area,1
MOSCOW SEA,9149249.0,Liberia,27526.0,Product tanker,2010-10-29,12:45,East Africa,4° 22.00' S,39° 58.00' E,In international waters,1
HELLESPONT PROTECTOR,9351452.0,Liberia,42010.0,Tanker,2010-10-28,05:39,East Africa,13° 08.00' N,49° 14.00' E,In international waters,1
MAERSK KARACHI,9162215.0,"Hong Kong, China",80942.0,Container ship,2010-10-27,13:00,East Africa,10° 51.00' N,63° 28.00' E,In international waters,1
MAIDO,9135779.0,France,4201.0,Tanker,2010-10-26,18:05,East Africa,8° 20.20' S,40° 42.40' E,In international waters,1
MAERSK BEATER,9144342.0,Isle of Man (United Kingdom),4363.0,Tug,2010-10-25,08:56,West Africa,5° 48.80' N,4° 23.10' E,In territorial waters,1
BELUGA FORTUNE,9402067.0,Antigua and Barbuda,9611.0,General cargo ship,2010-10-24,05:42,Indian Ocean,3° 29.00' N,59° 35.00' E,In international waters,1
MERLIN ARROW,9155303.0,Bahamas,36008.0,General cargo ship,2010-10-23,02:52,East Africa,13° 09.10' N,49° 12.60' E,In international waters,1
MSC SUDAN,7383877.0,Liberia,27971.0,Container ship,2010-10-22,23:00,East Africa,13° 08.00' N,48° 44.00' E,In international waters,1
WADI ALRAYAN,9208875.0,Egypt,34083.0,Container ship,2010-10-20,21:00,South China Sea,14° 32.20' N,120° 54.90' E,In port area,1
ENDEAVOR I,7901497.0,Panama,22519.0,Product tanker,2010-10-21,16:00,East Africa,4° 20.40' S,40° 25.05' E,In international waters,1
SAFMARINE ZAMBEZI,9239898.0,Liberia,27322.0,Container ship,2010-10-21,08:25,East Africa,9° 45.00' S,39° 56.00' E,In international waters,1
MARIANNE SCHULTE,9215907.0,"Hong Kong, China",26718.0,Container ship,2010-10-20,00:01,West Africa,6° 07.50' N,3° 26.70' E,In territorial waters,1
DAFNE,8118164.0,Sierra Leone,4153.0,Product tanker,2010-10-19,18:30,East Africa,2° 02.00' N,50° 13.70' E,In international waters,1
ATLANTIC INNOVATOR,9367712.0,Panama,26900.0,Product tanker,2010-10-20,04:00,South China Sea,1° 24.00' N,104° 34.00' E,In territorial waters,1
RIBBON,9163295.0,Italy,38864.0,Bulk carrier,2010-10-16,20:05,South China Sea,0° 01.20' S,117° 36.26' E,In territorial waters,1
LIVANITA,9146558.0,Norway,26044.0,Bulk carrier,2010-10-16,03:00,South China Sea,6° 02.60' S,106° 54.10' E,In port area,1
BERGEN ARROW,8130291.0,Bahamas,25063.0,General cargo ship,2010-10-15,05:00,South America (A),1° 31.70' S,48° 47.10' W,In port area,1
EAGLE CORONA,9042453.0,Singapore,52504.0,Tanker,2010-10-15,02:50,South China Sea,2° 06.17' S,108° 45.60' E,In international waters,1
ARDMORE SEAFARER,9310161.0,Marshall Islands,27969.0,Product tanker,2010-10-12,15:00,East Africa,8° 11.00' N,67° 56.00' E,In international waters,1
KIEL,9555199.0,Singapore,4568.0,Product tanker,2010-10-12,00:01,South China Sea,1° 18.30' N,104° 12.10' E,In port area,1
MAREN S,9306251.0,Antigua and Barbuda,9957.0,Container ship,2010-10-11,12:45,Indian Ocean,22° 11.06' N,91° 44.38' E,In port area,1
IZUMI,9414955.0,Panama,14162.0,General cargo ship,2010-10-10,13:38,East Africa,3° 28.00' S,40° 49.00' E,In international waters,1
ANUKET JADE,9393656.0,Panama,5581.0,Product tanker,2010-10-10,18:25,East Africa,9° 54.40' S,40° 09.00' E,In international waters,1
KAVO PORTLAND,9497854.0,Marshall Islands,32957.0,Barge carrier,2010-10-10,11:15,Indian Ocean,4° 59.40' N,67° 06.40' E,In international waters,1
GEO BARENTS,9252503.0,Norway,4979.0,Research ship,2010-09-26,20:50,East Africa,6° 54.00' S,40° 27.00' E,In international waters,1
NEW CHAMPION,9298296.0,Marshall Islands,41994.0,Tanker,2010-09-14,14:00,Arabian Sea,14° 55.00' S,54° 25.00' E,In international waters,1
STAR II,8715027.0,Liberia,157196.0,Tanker,2010-10-03,14:30,East Africa,13° 21.20' N,49° 29.10' E,In international waters,1
BARBARA,9066760.0,Bahamas,22147.0,Bulk carrier,2010-09-25,02:45,South America (P),1° 05.60' S,48° 27.80' W,In port area,1
PHOENIX ACE,8223593.0,Panama,29933.0,Vehicle carrier,2010-10-02,15:30,Indian Ocean,22° 11.86' N,91° 43.24' E,In port area,1
FENG SHUN SHAN,8400622.0,China,13367.0,General cargo ship,2010-09-22,22:00,West Africa,6° 26.50' N,3° 23.22' E,In port area,1
CELOSIA,9161900.0,"Hong Kong, China",4751.0,Chemical tanker,2010-09-01,22:00,South China Sea,3° 08.89' N,105° 25.20' E,In international waters,1
ECKHARDT,7387017.0,Belize,5445.0,Tanker,2010-10-01,01:00,West Africa,4° 03.45' N,6° 48.07' E,In port area,1
SURYA RATNA 7,9399181.0,Singapore,276.0,Tug,2010-09-30,07:30,South China Sea,0° 53.02' S,104° 18.46' E,In international waters,1
ASPHALT VENTURE,8875798.0,Panama,2967.0,Tanker,2010-09-28,20:00,East Africa,7° 07.00' S,41° 02.00' E,In international waters,1
MAERSK ALABAMA,9164263.0,United States,14120.0,Container ship,2010-09-29,04:55,East Africa,6° 47.50' N,61° 51.00' E,In international waters,1
MISSISSIPPI STAR,9527623.0,Malta,8537.0,Chemical tanker,2010-09-28,07:40,East Africa,6° 28.00' S,39° 48.00' E,In international waters,1
LUGELA,8410380.0,Panama,3120.0,General cargo ship,2010-09-25,03:15,East Africa,7° 24.00' N,64° 50.00' E,In international waters,1
BM ADVENTURE,7431246.0,Kiribati,11978.0,General cargo ship,2010-09-24,22:10,Indian Ocean,22° 10.90' N,91° 40.70' E,In port area,1
JASCON 30,9420655.0,Gibraltar (United Kingdom),12020.0,Barge carrier,2010-09-22,02:36,West Africa,3° 50.00' N,6° 54.60' E,In territorial waters,1
MALTE RAMBOW,9306263.0,Antigua and Barbuda,9957.0,Container ship,2010-09-18,04:30,South China Sea,20° 38.60' N,106° 52.30' E,In territorial waters,1
SHAMROCK,9208435.0,Barbados,4654.0,Ro-ro-cargo ship,2010-09-16,23:55,South America (C),18° 34.10' N,72° 31.50' W,In port area,1
VISION,9332717.0,Singapore,9957.0,Container ship,2010-09-10,04:13,Indian Ocean,22° 09.00' N,91° 44.00' E,In port area,1
SALMA,7382469.0,Saint Kitts and Nevis,1703.0,General cargo ship,2010-09-12,21:30,West Africa,3° 53.00' N,9° 32.00' E,In port area,1
ANGUS EXPRESS,9167057.0,Philippines,4752.0,Livestock carrier,2010-07-31,02:00,South America (A),1° 32.40' S,48° 46.30' W,In port area,1
MAREN S,9306251.0,Antigua and Barbuda,9957.0,Container ship,2010-09-12,23:00,Indian Ocean,22° 09.40' N,91° 45.00' E,In port area,1
SEMUA SELAMAT,9417127.0,Malaysia,5182.0,Product tanker,2010-09-09,21:10,South China Sea,2° 00.53' N,109° 04.39' E,In international waters,1
HIGH FORCE,9403346.0,Panama,31433.0,Product tanker,2010-08-29,02:45,South China Sea,1° 16.00' S,116° 50.00' E,In territorial waters,1
CHEERLEADER,8131049.0,Panama,10168.0,Ro-ro-cargo ship,2010-09-10,23:30,South China Sea,1° 55.00' N,109° 05.00' E,In international waters,1
OOCL KAOHSIUNG,9307009.0,"Hong Kong, China",66462.0,Container ship,2010-09-11,12:12,East Africa,12° 54.00' N,43° 10.70' E,In international waters,1
HOEGH OSLO,9382396.0,Norway,51964.0,Vehicle carrier,2010-08-28,08:00,East Africa,13° 31.00' N,49° 59.80' E,In international waters,1
MAGELLAN STAR,9242572.0,Antigua and Barbuda,6277.0,Container ship,2010-09-08,05:40,East Africa,13° 23.00' N,49° 58.00' E,In international waters,1
MELL SERAPONG,9373917.0,Liberia,9957.0,General cargo ship,2010-09-04,02:25,South China Sea,14° 33.12' N,120° 56.04' E,In port area,1
CLIPPER GRACE,9300867.0,"Hong Kong, China",19971.0,Bulk carrier,2010-09-06,03:00,South America (P),3° 51.00' N,77° 06.00' W,In port area,1
EOT SPAR,8813025.0,United States,2762.0,General cargo ship,2010-08-29,01:15,South America (C),18° 33.30' N,72° 21.20' W,In port area,1
EOT SPAR,8813025.0,United States,2762.0,General cargo ship,2010-08-01,00:30,South America (C),18° 34.40' N,72° 23.50' W,In port area,1
ATLANTIC GRACE,9337511.0,"Hong Kong, China",29266.0,Chemical tanker,2010-09-06,07:02,East Africa,13° 32.00' N,49° 39.70' E,In international waters,1
BRIGHT STAR,7620598.0,Panama,9077.0,General cargo ship,2010-09-04,01:30,West Africa,5° 51.93' S,13° 03.01' E,In international waters,1
IVS NIGHTJAR,9303429.0,Singapore,20283.0,General cargo ship,2010-09-05,01:40,South America (P),12° 01.70' S,77° 11.70' W,In port area,1
CHEMROAD LUNA,9228320.0,Panama,20043.0,Chemical tanker,2010-09-05,03:05,South China Sea,3° 14.20' N,105° 17.20' E,In international waters,1
SONGA SAPPHIRE,9444467.0,Marshall Islands,11259.0,Chemical tanker,2010-08-03,03:00,East Africa,13° 42.50' N,42° 57.00' E,In international waters,1
ARIES,9225421.0,Marshall Islands,23722.0,Container ship,2010-08-01,08:00,South America (A),9° 59.00' N,83° 00.10' W,In port area,1
LA PAZ,9031650.0,Panama,158457.0,Tanker,2010-09-01,01:00,South China Sea,3° 14.30' N,105° 19.60' E,In international waters,1
NORDBALTIC,9241475.0,Isle of Man (United Kingdom),25407.0,Container ship,2010-09-03,02:15,South China Sea,20° 39.70' N,107° 15.40' E,In territorial waters,1
MAGIC,9403073.0,Liberia,32379.0,Bulk carrier,2010-08-31,03:00,South China Sea,3° 13.00' S,116° 23.00' E,In port area,1
YEMA,9050670.0,Liberia,4847.0,Tanker,2010-08-31,01:10,West Africa,5° 52.40' S,13° 01.90' E,In port area,1
YANGTZE SPRING,9376749.0,"Hong Kong, China",156702.0,Oil tanker,2010-08-30,23:30,South China Sea,3° 03.80' N,105° 21.60' E,In international waters,1
IDEAL BULKER,9085572.0,"Hong Kong, China",16721.0,Barge carrier,2010-08-30,02:54,South China Sea,2° 59.70' N,105° 12.20' E,In international waters,1
CARIBBEAN CARRIER I,5336911.0,Panama,16382.0,Cement carrier,2010-08-28,08:00,East Africa,13° 31.90' N,49° 58.20' E,In international waters,1
DELMAS BONNY,9105994.0,Marshall Islands,16801.0,Container ship,2010-08-25,03:00,West Africa,9° 19.20' N,13° 45.20' W,In territorial waters,1
KIRANA TRITYA,9279678.0,Singapore,13203.0,Product tanker,2010-08-23,23:30,Indian Ocean,22° 16.10' N,91° 48.21' E,In port area,1
HANOVER EXPRESS,9343716.0,Germany,93750.0,Container ship,2010-08-22,04:10,East Africa,13° 26.10' N,49° 41.60' E,In international waters,1
BELUGA FAMILY,9381392.0,Antigua and Barbuda,9611.0,General cargo ship,2010-08-22,04:35,East Africa,13° 19.50' N,49° 49.00' E,In international waters,1
UMM AL AMAD,9360829.0,Marshall Islands,136685.0,Tanker,2010-08-21,23:00,South China Sea,3° 11.20' N,105° 22.20' E,In international waters,1
MURORAN,9403243.0,Panama,10646.0,General cargo ship,2010-08-20,04:20,South China Sea,5° 12.80' N,106° 32.60' E,In international waters,1
FUTAMI,8412546.0,Panama,12963.0,General cargo ship,2010-08-18,04:55,South China Sea,3° 23.00' N,100° 30.00' E,In international waters,1
